ТИК,УИК,Приняли участие в выборах,Явка,Путин Владимир Владимирович 
TIK-29,2125,1101,70%,56%
TIK-29,2163,1394,69%,52%
TIK-29,2159,1760,69%,50%
TIK-29,2109,1456,68%,52%
TIK-29,2135,1572,68%,52%
TIK-29,2138,1444,66%,49%
TIK-29,2124,1603,66%,51%
TIK-29,2129,1241,66%,51%
TIK-29,2171,1366,65%,48%
TIK-29,2160,1785,65%,47%
TIK-29,2151,1548,64%,48%
TIK-29,2141,991,64%,50%
TIK-29,2147,1446,64%,47%
TIK-29,2108,1323,64%,49%
TIK-29,2149,1301,63%,48%
TIK-29,2162,1518,63%,49%
TIK-29,2169,797,63%,49%
TIK-29,2123,1520,63%,47%
TIK-29,2173,1529,63%,45%
TIK-29,2115,1534,63%,47%
TIK-29,2136,1608,63%,47%
TIK-29,2111,1374,62%,48%
TIK-29,2153,1124,62%,48%
TIK-29,2164,1372,62%,46%
TIK-29,2174,1602,62%,48%
TIK-29,2142,1426,62%,48%
TIK-29,2126,1255,62%,47%
TIK-29,2137,1501,62%,46%
TIK-29,2148,1279,62%,47%
TIK-29,2156,1293,61%,48%
TIK-29,2168,974,61%,46%
TIK-29,2119,1491,61%,46%
TIK-29,2170,1260,61%,46%
TIK-29,2144,1336,61%,45%
TIK-29,2110,1230,61%,47%
TIK-29,2157,1233,61%,47%
TIK-29,2150,1582,61%,47%
TIK-29,2166,1416,61%,45%
TIK-29,2152,1236,61%,47%
TIK-29,2146,1425,61%,47%
TIK-29,2143,1461,60%,46%
TIK-29,2134,1230,60%,45%
TIK-29,2127,1065,60%,46%
TIK-29,2121,1076,60%,46%
TIK-29,2117,1581,60%,45%
TIK-29,2114,1460,59%,43%
TIK-29,2139,1454,59%,45%
TIK-29,2167,1368,59%,46%
TIK-29,2104,726,59%,43%
TIK-29,2120,1286,59%,45%
TIK-29,2165,1316,59%,46%
TIK-29,2175,975,59%,44%
TIK-29,2158,1072,59%,45%
TIK-29,2107,1134,59%,44%
TIK-29,2132,1277,58%,46%
TIK-29,2112,1335,58%,44%
TIK-29,2155,1494,58%,43%
TIK-29,2106,1303,57%,42%
TIK-29,2154,1049,57%,42%
TIK-29,2133,1287,57%,44%
TIK-29,2140,1501,57%,42%
TIK-29,2105,1286,57%,44%
TIK-29,2116,1379,56%,42%
TIK-29,2113,1503,56%,41%
TIK-29,2176,928,48%,34%
TIK-3,645,241,100%,85%
TIK-3,646,10,100%,90%
TIK-3,647,10,100%,80%
TIK-3,648,10,100%,100%
TIK-3,649,12,100%,100%
TIK-3,650,12,100%,92%
TIK-3,651,11,100%,100%
TIK-3,652,11,100%,100%
TIK-3,653,10,100%,100%
TIK-3,654,10,100%,80%
TIK-3,655,11,100%,100%
TIK-3,656,11,100%,100%
TIK-3,657,11,100%,73%
TIK-3,658,11,100%,100%
TIK-3,659,11,100%,100%
TIK-3,660,11,100%,73%
TIK-3,661,10,100%,100%
TIK-3,662,9,100%,100%
TIK-3,663,11,100%,91%
TIK-3,664,10,100%,70%
TIK-3,666,11,100%,91%
TIK-3,667,11,100%,73%
TIK-3,668,10,100%,100%
TIK-3,669,10,100%,90%
TIK-3,670,10,100%,100%
TIK-3,671,10,100%,100%
TIK-3,672,10,100%,100%
TIK-3,673,10,100%,100%
TIK-3,674,9,100%,78%
TIK-3,675,10,100%,80%
TIK-3,676,10,100%,100%
TIK-3,677,10,100%,80%
TIK-3,679,10,100%,80%
TIK-3,680,10,100%,100%
TIK-3,681,10,100%,100%
TIK-3,682,10,100%,100%
TIK-3,683,10,100%,100%
TIK-3,684,9,100%,33%
TIK-3,685,11,100%,100%
TIK-3,686,11,100%,100%
TIK-3,687,11,100%,45%
TIK-3,688,11,100%,82%
TIK-3,689,12,100%,100%
TIK-3,690,11,100%,73%
TIK-3,691,10,100%,80%
TIK-3,693,11,100%,36%
TIK-3,694,11,100%,91%
TIK-3,695,11,100%,91%
TIK-3,696,10,100%,80%
TIK-3,697,10,100%,90%
TIK-3,698,10,100%,70%
TIK-3,699,33,100%,73%
TIK-3,700,25,100%,36%
TIK-3,701,25,100%,72%
TIK-3,702,21,100%,67%
TIK-3,703,18,100%,61%
TIK-3,704,21,100%,62%
TIK-3,705,19,100%,79%
TIK-3,706,19,100%,74%
TIK-3,707,19,100%,68%
TIK-3,708,21,100%,76%
TIK-3,709,28,100%,54%
TIK-3,710,19,100%,47%
TIK-3,711,22,100%,64%
TIK-3,712,30,100%,60%
TIK-3,713,36,100%,75%
TIK-3,714,26,100%,58%
TIK-3,715,26,100%,88%
TIK-3,717,25,100%,80%
TIK-3,718,25,100%,76%
TIK-3,719,45,100%,67%
TIK-3,720,29,100%,72%
TIK-3,722,28,100%,89%
TIK-3,723,52,100%,81%
TIK-3,725,25,100%,72%
TIK-3,727,25,100%,64%
TIK-3,728,9,100%,67%
TIK-3,729,11,100%,64%
TIK-3,730,9,100%,67%
TIK-3,731,10,100%,70%
TIK-3,732,9,100%,89%
TIK-3,733,11,100%,64%
TIK-3,734,9,100%,89%
TIK-3,735,9,100%,78%
TIK-3,736,11,100%,45%
TIK-3,738,56,100%,52%
TIK-3,739,24,100%,79%
TIK-3,740,27,100%,52%
TIK-3,741,24,100%,63%
TIK-3,742,27,100%,52%
TIK-3,743,26,100%,46%
TIK-3,744,13,100%,54%
TIK-3,745,5,100%,100%
TIK-3,746,5,100%,60%
TIK-3,747,6,100%,50%
TIK-3,750,5,100%,100%
TIK-3,751,9,100%,89%
TIK-3,752,4,100%,75%
TIK-3,753,38,100%,45%
TIK-3,755,27,100%,59%
TIK-3,756,25,100%,64%
TIK-3,2296,48,100%,83%
TIK-3,2298,14,100%,43%
TIK-3,2299,28,100%,57%
TIK-3,2300,12,100%,92%
TIK-3,2301,12,100%,83%
TIK-3,2297,53,98%,81%
TIK-3,716,24,96%,80%
TIK-3,726,24,96%,72%
TIK-3,592,875,84%,62%
TIK-3,724,41,84%,78%
TIK-3,721,24,83%,69%
TIK-3,737,47,77%,44%
TIK-3,604,1613,72%,54%
TIK-3,587,1212,70%,56%
TIK-3,605,945,70%,52%
TIK-3,616,1574,69%,52%
TIK-3,627,969,68%,51%
TIK-3,626,935,68%,55%
TIK-3,594,860,67%,48%
TIK-3,582,1006,66%,51%
TIK-3,625,1112,66%,49%
TIK-3,613,978,65%,49%
TIK-3,591,1210,65%,48%
TIK-3,596,977,64%,46%
TIK-3,615,859,64%,49%
TIK-3,609,824,64%,48%
TIK-3,600,708,64%,44%
TIK-3,628,1204,64%,49%
TIK-3,606,906,64%,45%
TIK-3,595,889,64%,44%
TIK-3,576,1077,63%,45%
TIK-3,599,822,63%,45%
TIK-3,584,1216,63%,48%
TIK-3,590,600,63%,47%
TIK-3,619,1492,62%,46%
TIK-3,607,915,62%,46%
TIK-3,603,1434,62%,46%
TIK-3,631,1240,62%,46%
TIK-3,610,973,61%,45%
TIK-3,598,1302,61%,44%
TIK-3,614,961,61%,45%
TIK-3,585,1097,61%,46%
TIK-3,630,1065,61%,43%
TIK-3,583,1172,61%,45%
TIK-3,597,1202,61%,46%
TIK-3,577,949,61%,46%
TIK-3,632,1406,60%,46%
TIK-3,593,1345,60%,43%
TIK-3,622,1173,60%,47%
TIK-3,581,1102,60%,43%
TIK-3,624,1048,59%,44%
TIK-3,601,847,59%,43%
TIK-3,611,1088,59%,44%
TIK-3,579,1082,59%,46%
TIK-3,629,1212,58%,45%
TIK-3,621,999,58%,42%
TIK-3,586,760,58%,42%
TIK-3,618,1211,58%,44%
TIK-3,608,909,58%,43%
TIK-3,620,1391,58%,41%
TIK-3,602,863,57%,43%
TIK-3,617,1429,57%,43%
TIK-3,588,1111,57%,39%
TIK-3,589,1045,56%,41%
TIK-3,612,970,56%,42%
TIK-3,578,849,56%,42%
TIK-3,580,1132,53%,39%
TIK-3,623,1130,52%,39%
TIK-30,2269,227,100%,74%
TIK-30,2271,283,100%,79%
TIK-30,2270,623,85%,58%
TIK-30,2243,1534,72%,52%
TIK-30,2265,1816,68%,47%
TIK-30,2263,1248,67%,49%
TIK-30,2234,1401,65%,48%
TIK-30,2251,978,65%,46%
TIK-30,2233,1082,64%,53%
TIK-30,2241,907,63%,43%
TIK-30,2249,1115,63%,44%
TIK-30,2235,923,62%,44%
TIK-30,2264,1322,61%,41%
TIK-30,2250,1173,61%,44%
TIK-30,2238,1387,61%,41%
TIK-30,2262,973,61%,43%
TIK-30,2244,997,60%,41%
TIK-30,2252,1002,60%,43%
TIK-30,2259,1186,59%,41%
TIK-30,2257,1023,59%,45%
TIK-30,2248,969,59%,41%
TIK-30,2245,868,58%,39%
TIK-30,2261,789,58%,41%
TIK-30,2246,850,58%,40%
TIK-30,2268,834,58%,41%
TIK-30,2240,1752,58%,41%
TIK-30,2266,836,57%,41%
TIK-30,2247,1032,57%,41%
TIK-30,2239,1369,57%,36%
TIK-30,2256,1035,56%,41%
TIK-30,2236,705,56%,38%
TIK-30,2242,530,55%,39%
TIK-30,2260,1202,55%,39%
TIK-30,2267,882,55%,40%
TIK-30,2255,723,54%,38%
TIK-30,2258,1120,54%,40%
TIK-30,2253,1093,53%,38%
TIK-30,2254,967,52%,33%
TIK-30,2237,1150,51%,36%
TIK-4,958,586,100%,81%
TIK-4,963,339,100%,67%
TIK-4,959,416,85%,53%
TIK-4,931,1457,83%,61%
TIK-4,932,1293,77%,58%
TIK-4,948,930,76%,55%
TIK-4,905,1798,76%,57%
TIK-4,925,1385,76%,54%
TIK-4,909,1221,75%,58%
TIK-4,919,1196,73%,54%
TIK-4,952,1229,73%,54%
TIK-4,917,1088,73%,53%
TIK-4,953,1152,72%,54%
TIK-4,951,1142,72%,53%
TIK-4,954,1363,71%,53%
TIK-4,961,1559,71%,53%
TIK-4,926,1222,71%,50%
TIK-4,913,1265,71%,54%
TIK-4,940,1427,71%,57%
TIK-4,942,872,71%,53%
TIK-4,906,1218,71%,51%
TIK-4,921,1348,70%,50%
TIK-4,949,938,70%,51%
TIK-4,937,1387,70%,52%
TIK-4,914,1103,70%,53%
TIK-4,943,1323,70%,50%
TIK-4,945,1484,70%,48%
TIK-4,911,1092,70%,54%
TIK-4,908,996,70%,55%
TIK-4,960,1358,69%,52%
TIK-4,936,1215,69%,53%
TIK-4,907,1273,69%,51%
TIK-4,935,1144,69%,54%
TIK-4,912,1044,69%,50%
TIK-4,946,961,69%,47%
TIK-4,903,1478,69%,53%
TIK-4,947,961,68%,46%
TIK-4,934,1116,68%,50%
TIK-4,933,1231,67%,53%
TIK-4,930,1062,67%,49%
TIK-4,915,1190,66%,50%
TIK-4,916,922,65%,50%
TIK-4,923,1284,65%,49%
TIK-4,918,1020,64%,49%
TIK-4,920,1091,64%,50%
TIK-4,941,1355,64%,45%
TIK-4,950,1310,63%,47%
TIK-4,957,1385,63%,48%
TIK-4,938,1018,62%,46%
TIK-4,956,1186,62%,47%
TIK-4,928,1045,62%,45%
TIK-4,902,1001,61%,51%
TIK-4,924,1056,61%,43%
TIK-4,955,909,60%,44%
TIK-4,904,1215,60%,46%
TIK-4,927,1063,60%,43%
TIK-4,929,1176,60%,43%
TIK-4,962,1540,60%,43%
TIK-4,939,1412,59%,45%
TIK-4,901,624,57%,45%
TIK-4,910,930,56%,43%
TIK-4,922,1213,56%,41%
TIK-4,944,1424,54%,37%
TIK-5,1538,1187,98%,70%
TIK-5,1537,1007,97%,80%
TIK-5,1508,604,93%,83%
TIK-5,1512,1914,73%,54%
TIK-5,1517,1727,70%,50%
TIK-5,1443,1420,70%,52%
TIK-5,1529,1700,69%,51%
TIK-5,1523,1455,67%,50%
TIK-5,1511,1440,67%,54%
TIK-5,1519,1676,66%,50%
TIK-5,1441,1548,66%,50%
TIK-5,1521,1148,66%,48%
TIK-5,1499,1536,66%,47%
TIK-5,1446,1299,66%,50%
TIK-5,1506,1295,65%,50%
TIK-5,1498,1324,65%,49%
TIK-5,1494,1391,65%,47%
TIK-5,1444,1182,65%,52%
TIK-5,1442,1510,65%,49%
TIK-5,1483,1086,65%,48%
TIK-5,1526,1609,64%,46%
TIK-5,1527,1449,64%,46%
TIK-5,1524,1338,64%,50%
TIK-5,1422,1140,64%,50%
TIK-5,1452,1147,64%,50%
TIK-5,1490,1407,64%,47%
TIK-5,1497,1415,64%,48%
TIK-5,1445,1173,63%,49%
TIK-5,1515,1210,63%,46%
TIK-5,1465,1280,63%,46%
TIK-5,1474,1273,63%,48%
TIK-5,1507,1167,63%,48%
TIK-5,1513,1468,63%,48%
TIK-5,1462,1156,63%,46%
TIK-5,1518,1529,63%,45%
TIK-5,1464,1140,63%,46%
TIK-5,1528,1342,63%,45%
TIK-5,1456,1434,62%,46%
TIK-5,1458,1363,62%,47%
TIK-5,1530,1588,62%,46%
TIK-5,1486,1207,62%,46%
TIK-5,1428,1549,62%,45%
TIK-5,1448,1297,62%,47%
TIK-5,1454,1232,62%,46%
TIK-5,1522,1338,62%,47%
TIK-5,1525,1528,62%,46%
TIK-5,1489,1223,62%,48%
TIK-5,1492,1408,62%,46%
TIK-5,1501,1234,62%,47%
TIK-5,1495,1249,62%,46%
TIK-5,1482,1101,61%,46%
TIK-5,1470,1466,61%,46%
TIK-5,1479,1563,61%,47%
TIK-5,1469,1412,61%,45%
TIK-5,1510,1383,61%,46%
TIK-5,1534,1204,61%,43%
TIK-5,1485,1054,61%,47%
TIK-5,1487,1304,61%,44%
TIK-5,1514,1157,61%,46%
TIK-5,1520,1369,61%,45%
TIK-5,1488,1325,61%,47%
TIK-5,1536,1079,60%,45%
TIK-5,1453,1282,60%,45%
TIK-5,1423,1057,60%,48%
TIK-5,1493,1194,60%,46%
TIK-5,1478,1487,60%,45%
TIK-5,1505,1296,60%,50%
TIK-5,1437,1397,60%,45%
TIK-5,1430,1258,60%,46%
TIK-5,1435,1167,60%,48%
TIK-5,1503,1122,60%,47%
TIK-5,1457,1350,60%,45%
TIK-5,1467,1179,60%,46%
TIK-5,1496,1390,60%,46%
TIK-5,1535,983,60%,43%
TIK-5,1468,1240,60%,46%
TIK-5,1472,1090,60%,44%
TIK-5,1461,1138,60%,46%
TIK-5,1460,1063,60%,48%
TIK-5,1471,1375,59%,46%
TIK-5,1473,1361,59%,44%
TIK-5,1531,1343,59%,43%
TIK-5,1533,1243,59%,43%
TIK-5,1480,1496,59%,42%
TIK-5,1436,1200,59%,44%
TIK-5,1500,1319,59%,44%
TIK-5,1509,1556,59%,46%
TIK-5,1450,1051,59%,46%
TIK-5,1463,1093,59%,45%
TIK-5,1438,1051,58%,46%
TIK-5,1476,1566,58%,43%
TIK-5,1502,1172,58%,46%
TIK-5,1439,1305,58%,44%
TIK-5,1484,920,58%,43%
TIK-5,1504,1269,57%,43%
TIK-5,1427,1038,57%,44%
TIK-5,1459,1394,57%,44%
TIK-5,1432,1210,57%,44%
TIK-5,1491,1083,57%,42%
TIK-5,1426,1055,56%,43%
TIK-5,1475,1235,56%,41%
TIK-5,1451,1067,56%,43%
TIK-5,1429,1224,56%,43%
TIK-5,1434,1073,56%,43%
TIK-5,1455,1342,56%,41%
TIK-5,1425,987,55%,42%
TIK-5,1433,1133,55%,43%
TIK-5,1532,1437,55%,38%
TIK-5,1481,1279,54%,42%
TIK-5,1516,1181,54%,40%
TIK-5,1466,1242,54%,39%
TIK-5,1440,1012,53%,41%
TIK-5,1477,1861,53%,37%
TIK-5,1431,1054,53%,41%
TIK-5,1449,1131,53%,40%
TIK-5,1447,1146,52%,39%
TIK-5,1424,852,50%,40%
TIK-6,1088,1847,73%,57%
TIK-6,1133,830,65%,52%
TIK-6,1129,1564,65%,46%
TIK-6,1068,713,65%,50%
TIK-6,1067,1176,64%,50%
TIK-6,1065,1233,64%,49%
TIK-6,1120,1407,64%,50%
TIK-6,1090,1091,64%,49%
TIK-6,1074,1061,64%,49%
TIK-6,1137,1718,64%,46%
TIK-6,1098,1263,63%,49%
TIK-6,1076,1205,62%,47%
TIK-6,1108,1396,62%,48%
TIK-6,1059,1411,62%,48%
TIK-6,1077,1513,62%,47%
TIK-6,1124,1719,62%,45%
TIK-6,1138,1132,62%,45%
TIK-6,1092,1306,62%,48%
TIK-6,1104,1141,61%,48%
TIK-6,1064,1170,61%,46%
TIK-6,1073,1085,61%,45%
TIK-6,1072,1361,61%,47%
TIK-6,1069,1294,61%,47%
TIK-6,1066,1136,61%,47%
TIK-6,1091,1018,61%,48%
TIK-6,1105,1271,61%,47%
TIK-6,1102,1159,61%,48%
TIK-6,1106,1338,61%,46%
TIK-6,1060,1199,60%,46%
TIK-6,1062,1237,60%,47%
TIK-6,1121,1299,60%,46%
TIK-6,1130,1665,60%,46%
TIK-6,1087,1284,60%,45%
TIK-6,1109,1202,60%,45%
TIK-6,1115,1404,60%,47%
TIK-6,1094,1487,60%,46%
TIK-6,1079,1103,60%,47%
TIK-6,1136,1827,60%,42%
TIK-6,1114,1231,60%,47%
TIK-6,1101,1094,59%,44%
TIK-6,1118,1104,59%,45%
TIK-6,1071,1256,59%,42%
TIK-6,1099,1546,59%,46%
TIK-6,1113,1135,59%,44%
TIK-6,1107,1403,59%,45%
TIK-6,1117,1435,59%,46%
TIK-6,1075,1077,59%,44%
TIK-6,1081,1373,59%,45%
TIK-6,1078,1079,59%,45%
TIK-6,1082,1228,59%,44%
TIK-6,1080,1164,59%,44%
TIK-6,1119,1245,59%,44%
TIK-6,1111,1187,59%,45%
TIK-6,1100,1051,58%,44%
TIK-6,1086,1460,58%,44%
TIK-6,1122,1020,58%,47%
TIK-6,1095,1188,58%,45%
TIK-6,1131,1581,58%,43%
TIK-6,1070,977,58%,46%
TIK-6,1126,1122,58%,45%
TIK-6,1058,1129,58%,45%
TIK-6,1061,1097,58%,45%
TIK-6,1116,1340,58%,44%
TIK-6,1110,1339,57%,44%
TIK-6,1127,1256,57%,43%
TIK-6,1112,1697,57%,43%
TIK-6,1093,1389,56%,43%
TIK-6,1132,1817,56%,42%
TIK-6,1125,1012,56%,44%
TIK-6,1096,1096,56%,44%
TIK-6,1103,1284,56%,42%
TIK-6,1089,865,55%,44%
TIK-6,1097,990,53%,40%
TIK-6,1063,979,53%,41%
TIK-6,1128,1306,52%,39%
TIK-6,1123,1216,52%,40%
TIK-6,1135,1474,48%,36%
TIK-6,1134,1142,45%,35%
TIK-7,815,275,85%,66%
TIK-7,810,1709,70%,51%
TIK-7,809,1407,67%,50%
TIK-7,804,1365,67%,50%
TIK-7,801,1031,66%,50%
TIK-7,760,1184,66%,50%
TIK-7,641,1219,65%,47%
TIK-7,778,949,64%,48%
TIK-7,792,1187,63%,48%
TIK-7,802,1488,63%,47%
TIK-7,638,1417,63%,46%
TIK-7,768,1468,63%,46%
TIK-7,807,1336,63%,47%
TIK-7,797,1175,63%,47%
TIK-7,798,1175,62%,48%
TIK-7,813,1114,62%,47%
TIK-7,811,1595,62%,45%
TIK-7,800,1290,62%,45%
TIK-7,633,1655,62%,47%
TIK-7,787,1145,62%,44%
TIK-7,784,1074,61%,47%
TIK-7,766,1372,61%,45%
TIK-7,777,1096,61%,45%
TIK-7,635,1252,61%,45%
TIK-7,644,1166,61%,47%
TIK-7,796,1521,60%,45%
TIK-7,793,1277,60%,43%
TIK-7,779,893,60%,46%
TIK-7,781,1415,60%,46%
TIK-7,783,1293,60%,46%
TIK-7,758,1171,59%,44%
TIK-7,814,1304,59%,44%
TIK-7,794,999,59%,45%
TIK-7,771,692,59%,43%
TIK-7,776,1408,59%,43%
TIK-7,640,1457,59%,44%
TIK-7,774,1112,58%,44%
TIK-7,761,1230,58%,44%
TIK-7,788,1510,58%,42%
TIK-7,757,1306,58%,43%
TIK-7,806,1298,58%,45%
TIK-7,790,1350,57%,43%
TIK-7,637,1380,57%,42%
TIK-7,643,1552,57%,42%
TIK-7,791,1381,57%,43%
TIK-7,808,1147,57%,42%
TIK-7,786,736,57%,42%
TIK-7,767,1315,57%,43%
TIK-7,812,1223,57%,41%
TIK-7,799,1078,57%,42%
TIK-7,763,1253,57%,44%
TIK-7,772,1163,57%,42%
TIK-7,773,1173,56%,43%
TIK-7,765,1493,56%,43%
TIK-7,789,1242,56%,40%
TIK-7,785,1195,56%,42%
TIK-7,764,613,56%,42%
TIK-7,636,1175,55%,40%
TIK-7,775,1467,55%,41%
TIK-7,759,729,55%,42%
TIK-7,780,906,54%,42%
TIK-7,770,797,54%,41%
TIK-7,803,1349,54%,40%
TIK-7,805,938,54%,41%
TIK-7,769,1560,54%,41%
TIK-7,795,1305,54%,41%
TIK-7,639,1317,54%,43%
TIK-7,762,1408,54%,41%
TIK-7,634,1345,54%,41%
TIK-7,642,1410,53%,40%
TIK-7,782,699,47%,37%
TIK-8,1702,400,100%,76%
TIK-8,1681,294,99%,87%
TIK-8,1692,523,97%,79%
TIK-8,1723,618,80%,60%
TIK-8,1676,1383,79%,61%
TIK-8,1712,1423,74%,56%
TIK-8,1699,2520,72%,60%
TIK-8,1686,1862,72%,54%
TIK-8,1715,779,72%,57%
TIK-8,1684,1797,69%,55%
TIK-8,1685,2235,69%,52%
TIK-8,1719,960,68%,54%
TIK-8,1691,1423,67%,53%
TIK-8,1693,1763,66%,52%
TIK-8,1687,1297,66%,53%
TIK-8,1713,1221,66%,52%
TIK-8,1698,1382,66%,51%
TIK-8,1688,1230,65%,50%
TIK-8,1700,2107,65%,50%
TIK-8,1720,946,65%,52%
TIK-8,1679,1063,65%,50%
TIK-8,1695,1684,64%,49%
TIK-8,1718,1598,64%,51%
TIK-8,1680,1259,64%,51%
TIK-8,1678,342,64%,49%
TIK-8,1674,734,64%,44%
TIK-8,1689,1589,64%,49%
TIK-8,1690,1387,64%,50%
TIK-8,1682,1851,63%,49%
TIK-8,1696,1539,63%,48%
TIK-8,1709,862,62%,47%
TIK-8,1697,1282,62%,46%
TIK-8,1708,1889,62%,48%
TIK-8,1714,1027,62%,48%
TIK-8,1711,940,62%,49%
TIK-8,1716,937,62%,47%
TIK-8,1717,840,61%,46%
TIK-8,1721,865,61%,49%
TIK-8,1722,985,61%,49%
TIK-8,1683,1390,60%,46%
TIK-8,1694,1411,60%,46%
TIK-8,1706,1500,60%,45%
TIK-8,1675,576,60%,45%
TIK-8,1707,430,60%,48%
TIK-8,1710,718,59%,48%
TIK-8,1677,899,59%,47%
TIK-8,1701,1226,58%,34%
TIK-9,1798,1551,87%,68%
TIK-9,1820,1004,77%,58%
TIK-9,1797,1225,76%,56%
TIK-9,1808,1627,74%,57%
TIK-9,1840,1511,73%,56%
TIK-9,1830,722,73%,58%
TIK-9,1806,1229,73%,51%
TIK-9,1807,1688,73%,54%
TIK-9,1800,1334,73%,50%
TIK-9,1818,926,72%,54%
TIK-9,1834,1095,72%,55%
TIK-9,1831,1312,70%,53%
TIK-9,1809,951,70%,48%
TIK-9,1805,1419,69%,51%
TIK-9,1799,1071,68%,56%
TIK-9,1844,1401,68%,52%
TIK-9,1827,1456,68%,50%
TIK-9,1828,1387,68%,52%
TIK-9,1794,1444,68%,54%
TIK-9,1793,1213,67%,49%
TIK-9,1823,1328,67%,50%
TIK-9,1822,1262,66%,50%
TIK-9,1801,1252,66%,44%
TIK-9,1803,1542,66%,47%
TIK-9,1832,1289,66%,51%
TIK-9,1819,1366,66%,50%
TIK-9,1813,1486,66%,50%
TIK-9,1841,1201,66%,50%
TIK-9,1796,843,65%,48%
TIK-9,1829,819,64%,47%
TIK-9,1833,917,64%,49%
TIK-9,1810,1506,64%,44%
TIK-9,1802,1394,63%,48%
TIK-9,1835,1332,63%,48%
TIK-9,1839,1468,63%,50%
TIK-9,1815,1022,63%,42%
TIK-9,1843,1253,62%,43%
TIK-9,1824,1242,62%,47%
TIK-9,1816,1081,62%,47%
TIK-9,1842,891,61%,46%
TIK-9,1817,1157,61%,44%
TIK-9,1837,1275,61%,46%
TIK-9,1812,1457,61%,45%
TIK-9,1795,956,60%,47%
TIK-9,1804,1279,60%,43%
TIK-9,1814,1109,60%,44%
TIK-9,1838,1515,59%,44%
TIK-9,1836,1304,59%,44%
TIK-9,1825,1242,58%,44%
TIK-9,1826,1020,56%,42%
TIK-9,1821,1391,55%,41%
